Case ID,Activity,User ID,Start Time,End Time
log copy.json,"{0: 9, 3: 1}",log copy.json,2022-12-18 15:48:03.697849,2022-12-18 15:48:03.697856
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.715620,2022-12-18 15:48:03.715626
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.764808,2022-12-18 15:48:03.764815
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.781947,2022-12-18 15:48:03.781954
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.795880,2022-12-18 15:48:03.795887
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.806893,2022-12-18 15:48:03.806898
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.818630,2022-12-18 15:48:03.818637
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.830935,2022-12-18 15:48:03.830941
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.844425,2022-12-18 15:48:03.844432
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.857360,2022-12-18 15:48:03.857366
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.870714,2022-12-18 15:48:03.870720
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.881620,2022-12-18 15:48:03.881626
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.893389,2022-12-18 15:48:03.893395
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.904119,2022-12-18 15:48:03.904124
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.914439,2022-12-18 15:48:03.914445
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.925982,2022-12-18 15:48:03.925988
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.935851,2022-12-18 15:48:03.935857
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.949513,2022-12-18 15:48:03.949518
log copy.json,{5: 10},log copy.json,2022-12-18 15:48:03.963126,2022-12-18 15:48:03.963131
